Unnamed: 0.1,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,ram_gb,storage_gb,cpu_score,gpu_class,touchscreen,weight_kg
0,HP,Victus 15-fb0157AX Gaming Laptop,9580800,73,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,3,0,2.0
1,HP,15s-fq5007TU Laptop,7660800,60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,60,2,0,2.0
2,Acer,One 14 Z8-415 Laptop,5182080,69,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,60,2,0,2.0
3,Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,11467968,66,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,14.0,2240.0,1400.0,Windows 11 OS,1,16.0,512.0,75,2,0,2.0
4,Apple,MacBook Air 2020 MGND3HN Laptop,13438080,69,Apple M1,Octa Core (4P + 4E),8GB,DDR4,256GB,SSD,Apple M1 Integrated Graphics,13.3,2560.0,1600.0,Mac OS,1,8.0,256.0,50,1,0,2.0
5,Acer,Extensa EX214-53 Laptop,7678080,62,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,2,0,2.0
6,Dell,Inspiron 3520 D560896WIN9B Laptop,7063680,60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,60,2,0,2.0
7,Acer,Nitro V ANV15-51 2023 Gaming Laptop,14782080,63,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,75,4,0,2.0
8,Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,9406080,64,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,2,0,2.0
9,Samsung,Galaxy Book2 Pro 13 Laptop,14398080,68,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,13.3,1080.0,1920.0,Windows 11 OS,1,16.0,512.0,75,2,0,2.0
10,Lenovo,V15 G3 IAP 82TTA08AIN Laptop,9598080,69,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,85,2,0,2.0
11,Ultimus,Pro NU14U3INC43BN-CS Laptop,2110080,69,Intel Celeron  N4020,"Dual Core, 2 Threads",4GB,DDR4,128GB,SSD,Intel Integrated UHD Graphics,14.1,1366.0,768.0,Windows 11 OS,1,4.0,128.0,40,2,0,2.0
